GP,PTS,FG%,3P%,FT%,REB,AST,STL,BLK,TOV,TARGET_5Yrs
36,7,35,25,70,4,2,0,0,1,NO
35,7,30,24,77,2,4,1,1,2,NO
74,5,42,24,67,2,1,1,0,1,NO
58,6,43,23,69,2,1,1,0,1,YES
48,5,52,0,67,3,0,0,0,1,YES
75,4,42,33,73,1,2,0,0,1,NO
62,7,44,50,81,2,1,0,0,1,YES
48,6,42,30,88,2,0,0,0,1,YES
65,2,39,23,71,1,2,0,0,1,NO
42,4,38,21,68,1,0,0,0,1,NO
35,2,37,33,82,1,1,0,0,0,NO
40,4,40,14,78,1,0,0,0,1,YES
27,1,47,0,29,2,0,0,1,0,YES
45,6,32,30,86,2,1,1,0,1,NO
44,2,54,0,50,1,0,0,0,1,YES
40,3,51,14,68,0,1,0,0,1,YES
49,2,38,0,64,1,0,0,0,1,NO
41,2,35,21,73,0,1,0,0,0,NO
82,19,49,23,83,11,4,1,1,2,NO
82,19,49,23,83,11,4,1,1,2,YES
80,14,53,11,65,8,2,1,1,2,YES
82,13,49,17,67,5,3,2,0,2,YES
76,11,38,13,73,3,2,2,0,2,YES
61,12,45,32,75,3,5,1,0,3,NO
32,6,53,0,63,5,0,1,1,1,NO
76,10,51,0,81,6,2,1,1,2,YES
52,9,45,43,84,2,4,1,0,2,NO
76,9,42,0,74,5,2,1,1,1,YES
78,10,45,39,74,3,2,1,0,1,NO
51,8,50,0,67,5,1,1,1,2,YES
64,6,55,0,57,6,1,0,1,1,YES
55,10,53,0,52,6,1,0,2,1,YES
82,7,42,4,81,2,4,1,0,2,YES
48,9,53,0,67,6,1,1,1,2,YES
34,4,30,19,91,1,3,1,0,1,NO
42,9,40,36,83,2,1,1,0,1,YES
82,6,37,15,74,2,4,1,0,1,YES
64,7,39,23,75,2,3,1,0,2,YES
80,7,53,0,69,4,0,1,1,1,YES
77,6,47,21,81,4,0,0,1,1,YES
55,4,42,38,76,2,2,1,0,1,NO
48,5,41,10,80,2,2,1,0,1,NO
51,5,40,27,88,2,3,1,0,1,NO
51,4,40,37,77,2,1,0,0,1,NO
72,5,42,0,80,1,2,1,0,1,YES
69,4,45,100,82,3,1,1,0,1,YES
54,6,57,0,66,3,0,1,1,1,YES
24,4,30,37,67,1,2,1,0,1,NO
50,4,42,19,75,1,2,1,0,1,YES
56,3,46,0,66,1,1,1,0,1,YES
67,4,39,29,76,1,1,0,0,1,NO
50,3,38,14,66,1,2,1,0,1,YES
45,3,48,0,75,2,0,0,0,1,YES
38,3,37,22,83,1,1,0,0,1,NO
42,3,44,0,53,2,0,0,0,1,NO
54,3,46,19,74,1,1,0,0,1,NO
35,4,39,20,54,1,1,0,0,1,NO
37,3,44,18,81,1,0,0,0,1,NO
46,3,43,27,53,1,1,0,0,0,NO
51,2,38,43,83,1,0,0,0,0,NO
40,2,38,0,76,1,0,0,0,1,NO
19,2,38,0,38,1,0,0,0,0,NO
36,1,35,12,67,1,1,0,0,1,NO
79,18,42,27,74,9,4,1,1,3,YES
55,3,30,20,75,1,1,1,0,1,NO
74,18,47,34,73,10,2,1,1,3,YES
64,14,41,37,77,3,4,1,0,3,NO
82,16,43,37,75,3,2,1,0,2,YES
82,7,45,8,71,3,6,2,0,2,YES
81,7,51,0,72,8,0,1,2,1,YES
76,12,44,13,78,3,1,1,0,2,YES
82,9,46,21,87,2,4,1,0,2,NO
82,9,46,21,87,2,4,1,0,2,YES
49,2,33,21,65,1,2,1,0,1,NO
49,2,33,21,65,1,2,1,0,1,YES
82,11,45,14,84,3,4,1,1,2,YES
76,7,51,0,64,5,1,1,2,1,YES
67,14,41,24,86,2,3,1,0,2,YES
70,9,44,10,71,2,3,0,0,2,NO
81,9,43,30,82,4,2,1,0,2,YES
33,7,50,40,84,3,1,1,0,1,YES
58,5,42,0,55,6,0,1,1,1,NO
70,7,42,25,80,2,1,0,0,1,NO
82,5,41,18,75,2,3,1,0,1,YES
62,7,38,29,77,2,1,1,0,1,NO
78,6,43,0,67,4,0,0,0,1,NO
73,6,49,0,66,5,1,0,0,1,YES
74,5,49,0,63,5,0,1,0,1,YES
76,7,42,30,63,3,1,1,0,1,NO
55,6,47,0,71,4,1,1,1,1,YES
47,6,45,18,59,2,3,1,0,2,NO
37,8,44,40,72,2,1,0,0,1,YES
62,4,47,0,64,3,1,0,0,1,NO
62,4,38,16,81,1,1,1,0,1,NO
51,7,44,12,68,2,1,1,0,1,NO
36,4,41,0,56,1,1,0,0,1,YES
74,3,42,25,65,2,1,1,0,0,YES
63,8,49,17,66,2,1,0,0,1,YES
33,2,35,27,64,2,1,1,0,0,NO
54,4,46,0,69,3,1,0,0,1,YES
73,4,41,28,73,1,1,1,0,1,NO
15,4,40,0,67,3,0,0,0,1,NO
64,4,44,0,70,1,2,0,0,1,YES
56,3,42,0,80,1,2,1,0,1,NO
64,3,39,0,70,1,1,0,0,1,NO
68,3,42,33,91,1,2,1,0,1,YES
47,3,40,38,76,1,1,0,0,1,NO
52,4,45,50,66,2,0,0,0,1,YES
64,4,40,40,78,1,0,0,0,1,NO
34,3,37,0,44,2,1,0,0,1,NO
42,4,44,0,55,3,0,0,1,1,YES
50,5,46,16,85,1,1,0,0,1,YES
52,3,46,0,65,2,0,0,1,0,YES
75,3,52,0,68,2,0,0,0,1,NO
39,2,42,24,48,2,1,0,0,0,YES
51,3,51,50,71,2,0,0,0,1,YES
52,1,37,0,55,2,0,0,0,0,NO
39,2,51,0,91,1,0,0,0,0,YES
82,24,53,0,73,12,2,2,4,3,YES
31,3,35,26,55,1,0,0,0,0,NO
79,15,47,27,76,4,9,2,0,3,NO
79,15,47,27,76,4,9,2,0,3,YES
82,11,44,0,66,8,1,1,1,2,YES
82,11,46,28,59,3,7,2,0,2,YES
81,14,49,16,69,3,8,2,0,3,YES
80,13,45,0,77,6,1,1,1,1,YES
77,14,44,25,73,5,2,1,0,2,YES
77,14,44,25,73,5,2,1,0,2,NO
50,10,37,23,78,3,4,2,0,2,YES
81,10,48,11,87,4,2,1,0,1,YES
82,9,51,30,72,3,2,1,0,2,YES
50,4,45,13,57,3,0,0,0,0,NO
81,12,49,6,71,4,2,1,0,2,YES
82,9,50,0,73,5,1,1,1,1,YES
81,10,41,40,81,2,3,1,0,2,YES
69,6,41,13,71,2,1,1,0,1,NO
82,9,40,27,55,4,1,1,1,2,YES
55,6,48,0,67,3,1,0,0,1,NO
75,7,47,0,76,3,1,0,0,1,YES
72,9,50,0,72,5,1,0,0,1,NO
79,8,49,0,75,2,2,1,0,1,YES
25,3,40,39,69,3,0,0,0,0,NO
81,6,49,50,89,1,3,1,0,1,YES
63,5,47,0,62,4,0,0,0,1,YES
81,7,48,17,74,4,0,1,1,1,YES
61,5,44,0,64,3,1,0,0,1,YES
43,5,41,14,68,1,2,0,0,1,NO
55,4,37,7,56,3,0,0,0,1,YES
59,4,55,25,67,2,1,1,0,1,NO
66,6,46,0,78,2,1,1,0,1,YES
70,17,41,26,70,6,6,2,1,4,NO
77,4,43,29,66,1,2,0,0,1,NO
37,4,30,23,69,1,2,1,0,1,NO
67,3,38,19,66,1,3,1,0,1,YES
42,2,43,0,50,3,1,0,0,0,NO
50,5,47,36,67,2,1,1,0,1,NO
65,5,48,7,83,2,1,0,0,1,NO
65,5,48,7,83,2,1,0,0,1,YES
82,7,54,0,49,6,1,1,1,1,NO
82,7,54,0,49,6,1,1,1,1,YES
44,3,31,33,79,1,1,0,0,1,YES
36,4,48,0,62,1,1,1,0,1,NO
60,3,44,0,70,1,2,1,0,1,YES
60,3,44,0,70,1,2,1,0,1,YES
60,3,44,0,70,1,2,1,0,1,NO
71,16,50,0,73,7,2,1,1,2,YES
71,16,50,0,73,7,2,1,1,2,YES
71,16,50,0,73,7,2,1,1,2,NO
34,4,39,32,55,1,1,0,0,1,YES
34,4,39,32,55,1,1,0,0,1,YES
34,4,39,32,55,1,1,0,0,1,NO
45,5,49,0,61,2,0,0,0,1,NO
70,13,38,33,90,3,6,1,0,2,NO
57,2,37,25,62,1,0,0,0,0,NO
52,3,39,27,81,1,0,0,0,1,YES
51,2,55,0,46,2,0,0,0,1,YES
35,3,44,40,89,1,0,0,0,1,NO
48,1,24,17,77,1,1,0,0,1,NO
21,1,33,0,50,1,0,0,0,0,NO
36,2,34,29,80,1,0,0,0,1,NO
21,2,38,25,69,1,0,0,0,0,NO
79,22,47,37,81,6,4,1,0,3,YES
81,19,50,19,78,5,5,2,1,3,YES
80,14,42,33,78,4,4,2,1,3,NO
79,15,46,43,83,3,3,2,1,2,YES
79,14,43,27,75,3,4,2,0,3,YES
82,12,49,0,75,7,2,2,1,3,YES
75,17,41,31,80,3,2,1,0,2,YES
82,9,43,0,83,5,6,1,0,2,YES
76,14,46,37,72,5,2,1,1,3,YES
71,12,44,23,74,3,7,2,0,4,YES
79,12,43,25,75,3,4,1,0,2,YES
82,9,38,32,80,3,1,1,0,1,NO
54,9,42,33,61,4,2,1,0,1,YES
55,8,42,25,67,5,2,1,1,2,NO
64,11,45,41,79,3,1,1,0,1,NO
71,6,49,0,80,2,3,1,0,2,NO
36,6,42,14,70,3,4,1,0,2,NO
65,7,50,0,57,5,1,1,0,1,NO
80,7,48,30,85,2,3,1,0,1,YES
32,7,47,20,69,2,4,1,0,2,NO
81,9,44,21,78,3,1,1,0,2,NO
80,12,43,23,79,2,2,1,0,2,YES
71,6,46,0,60,2,1,1,0,0,YES
81,9,47,32,75,2,4,1,0,2,YES
82,5,42,36,88,1,4,1,0,1,YES
24,5,44,0,58,2,1,1,0,1,NO
65,6,49,0,69,4,0,0,0,1,NO
56,5,49,0,58,3,1,0,0,1,YES
36,2,43,0,69,2,0,0,0,0,YES
51,5,45,0,73,2,1,0,0,1,NO
75,4,55,0,70,3,0,0,0,1,YES
54,5,43,0,38,4,1,0,0,1,YES
62,4,54,25,62,2,0,0,1,1,YES
82,2,30,7,78,1,3,0,0,1,YES
53,2,37,29,61,1,2,1,0,1,NO
47,3,40,17,83,1,2,1,0,1,NO
36,4,41,39,65,1,1,1,0,1,YES
62,3,51,0,65,2,0,0,1,1,YES
37,4,49,0,67,1,1,1,0,1,NO
60,3,49,0,50,3,0,0,0,1,YES
51,2,40,25,81,1,2,1,0,1,YES
42,4,43,10,69,1,1,0,0,1,YES
33,4,48,10,82,1,0,0,0,0,YES
33,4,48,10,82,1,0,0,0,0,NO
57,3,37,31,64,2,1,1,0,1,YES
57,3,37,31,64,2,1,1,0,1,NO
24,5,42,24,60,2,1,1,0,1,NO
77,6,46,40,71,3,1,1,0,1,NO
72,3,42,0,74,1,1,0,0,1,NO
49,3,36,22,66,1,1,0,0,1,YES
46,3,50,40,71,1,0,0,0,1,NO
43,2,35,11,56,1,2,1,0,0,YES
35,2,32,20,77,1,1,0,0,1,NO
